[ 2014-11-19T14:39:56+08:00 ] /index.php/Login/login | INFO: Tag[ route_check ] --START--
[ 2014-11-19T14:39:56+08:00 ] /index.php/Login/login | INFO: Run CheckRoute Behavior [ RunTime:0.000762s ]
[ 2014-11-19T14:39:56+08:00 ] /index.php/Login/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000857s ]
[ 2014-11-19T14:39:56+08:00 ] /index.php/Login/login | INFO: Tag[ app_begin ] --START--
[ 2014-11-19T14:39:56+08:00 ] /index.php/Login/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000420s ]
[ 2014-11-19T14:39:56+08:00 ] /index.php/Login/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000472s ]
[ 2014-11-19T14:39:56+08:00 ] /index.php/Login/login | INFO: Tag[ view_template ] --START--
[ 2014-11-19T14:39:56+08:00 ] /index.php/Login/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000654s ]
[ 2014-11-19T14:39:56+08:00 ] /index.php/Login/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000716s ]
[ 2014-11-19T14:39:56+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --START--
[ 2014-11-19T14:39:56+08:00 ] /index.php/Login/login | NOTIC: [8] Undefined variable: message dc3f4348b92bb672ad42baef1f696288.php 第 84 行.
[ 2014-11-19T14:39:56+08:00 ] /index.php/Login/login | INFO: Run ParseTemplate Behavior [ RunTime:0.007081s ]
[ 2014-11-19T14:39:56+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007138s ]
[ 2014-11-19T14:39:56+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --START--
[ 2014-11-19T14:39:56+08:00 ] /index.php/Login/login | INFO: Run ContentReplace Behavior [ RunTime:0.000581s ]
[ 2014-11-19T14:39:57+08:00 ] /index.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.000575s ]
[ 2014-11-19T14:39:57+08:00 ] /index.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000389s ]
[ 2014-11-19T14:39:57+08:00 ] /index.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000549s ]
[ 2014-11-19T14:39:57+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002247s ]
[ 2014-11-19T14:39:57+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2014-11-19T14:39:57+08:00 ] /index.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000504s ]
[ 2014-11-19T14:39:57+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000558s ]
[ 2014-11-19T14:39:57+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-19T14:39:57+08:00 ] /index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001130s ]
[ 2014-11-19T14:39:57+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001258s ]
[ 2014-11-19T14:39:57+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-19T14:39:57+08:00 ] /index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000895s ]
[ 2014-11-19T14:39:57+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001004s ]
[ 2014-11-19T14:40:13+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-19T14:40:13+08:00 ] /index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000580s ]
[ 2014-11-19T14:40:13+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000655s ]
[ 2014-11-19T14:40:13+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-19T14:40:13+08:00 ] /index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000420s ]
[ 2014-11-19T14:40:13+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000472s ]
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000521s ]
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000590s ]
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000464s ]
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000519s ]
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000682s ]
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000749s ]
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.007215s ]
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007283s ]
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000537s ]
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000518s ]
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000404s ]
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000592s ]
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002218s ]
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000670s ]
[ 2014-11-19T14:40:44+08:00 ] /index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000727s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Tag[ route_check ] --START--
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Run CheckRoute Behavior [ RunTime:0.000633s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000720s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000473s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000527s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | SQL: SHOW COLUMNS FROM `member` [ RunTime:0.002706s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | SQL: SELECT COUNT(*) AS tp_count FROM `member` LIMIT 1   [ RunTime:0.030150s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | SQL: SELECT * FROM `member` ORDER BY createtime desc LIMIT 0,10   [ RunTime:0.000197s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Tag[ view_template ] --START--
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000603s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000657s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Run ParseTemplate Behavior [ RunTime:0.010140s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010229s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Run ContentReplace Behavior [ RunTime:0.000509s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Run TokenBuild Behavior [ RunTime:0.000480s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000309s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000466s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001903s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Tag[ view_end ] --START--
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000462s ]
[ 2014-11-19T14:40:47+08:00 ] /index.php/Member/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000509s ]
[ 2014-11-19T14:40:51+08:00 ] /index.php/Account/index | INFO: Tag[ route_check ] --START--
[ 2014-11-19T14:40:51+08:00 ] /index.php/Account/index | INFO: Run CheckRoute Behavior [ RunTime:0.000624s ]
[ 2014-11-19T14:40:51+08:00 ] /index.php/Account/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000701s ]
[ 2014-11-19T14:40:51+08:00 ] /index.php/Account/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-19T14:40:51+08:00 ] /index.php/Account/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000448s ]
[ 2014-11-19T14:40:51+08:00 ] /index.php/Account/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000502s ]
