[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Tag[ route_check ] --START--
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Run CheckRoute Behavior [ RunTime:0.000594s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000663s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Tag[ app_begin ] --START--
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000389s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000438s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Tag[ view_template ] --START--
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001421s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001548s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --START--
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | NOTIC: [8] Undefined variable: message dc3f4348b92bb672ad42baef1f696288.php 第 84 行.
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Run ParseTemplate Behavior [ RunTime:0.030268s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030412s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --START--
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Run ContentReplace Behavior [ RunTime:0.000549s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.000493s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000318s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000572s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002071s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000524s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000574s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-11T09:33:42+08:00 ] /index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001286s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001432s ]
[ 2014-11-11T09:33:42+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-11T09:33:42+08:00 ] /index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000442s ]
