[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Tag[ route_check ] --START--
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Run CheckRoute Behavior [ RunTime:0.001578s ]
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001695s ]
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Tag[ app_begin ] --START--
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001083s ]
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001181s ]
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Tag[ view_template ] --START--
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001122s ]
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001193s ]
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --START--
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | NOTIC: [8] Undefined variable: message dc3f4348b92bb672ad42baef1f696288.php 第 84 行.
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Run ParseTemplate Behavior [ RunTime:0.035860s ]
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.035939s ]
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --START--
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Run ContentReplace Behavior [ RunTime:0.000785s ]
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.000721s ]
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000555s ]
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000949s ]
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003189s ]
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001255s ]
[ 2014-11-13T14:36:11+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001356s ]
[ 2014-11-13T14:36:12+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-13T14:36:12+08:00 ] /index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001206s ]
[ 2014-11-13T14:36:12+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001322s ]
[ 2014-11-13T14:36:12+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-13T14:36:12+08:00 ] /index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001207s ]
[ 2014-11-13T14:36:12+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001340s ]
[ 2014-11-13T14:36:18+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2014-11-13T14:36:18+08:00 ] /index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001139s ]
[ 2014-11-13T14:36:18+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001248s ]
[ 2014-11-13T14:36:18+08:00 ] /index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-13T14:36:18+08:00 ] /index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000926s ]
[ 2014-11-13T14:36:18+08:00 ] /index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000998s ]
[ 2014-11-13T14:36:18+08:00 ] /index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2014-11-13T14:36:18+08:00 ] /index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000957s ]
[ 2014-11-13T14:36:18+08:00 ] /index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001027s ]
[ 2014-11-13T14:36:18+08:00 ] /index.php/Index/index | INFO: Tag[ view_parse ] --START--
