[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Tag[ route_check ] --START--
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Run CheckRoute Behavior [ RunTime:0.000585s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000657s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Tag[ app_begin ] --START--
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000568s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000627s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Tag[ view_template ] --START--
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000644s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000709s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --START--
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | NOTIC: [8] Undefined variable: message dc3f4348b92bb672ad42baef1f696288.php 第 84 行.
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Run ParseTemplate Behavior [ RunTime:0.014684s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014743s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --START--
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Run ContentReplace Behavior [ RunTime:0.000505s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.000626s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000346s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000570s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002218s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000494s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000550s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-03T16:07:59+08:00 ] /index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000680s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000761s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-03T16:07:59+08:00 ] /index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000485s ]
[ 2014-11-03T16:07:59+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000542s ]
[ 2014-11-03T16:08:06+08:00 ] /index.php/Public/verify/1686 | INFO: Tag[ route_check ] --START--
[ 2014-11-03T16:08:06+08:00 ] /index.php/Public/verify/1686 | INFO: Run CheckRoute Behavior [ RunTime:0.000588s ]
[ 2014-11-03T16:08:06+08:00 ] /index.php/Public/verify/1686 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000672s ]
[ 2014-11-03T16:08:06+08:00 ] /index.php/Public/verify/1686 | INFO: Tag[ app_begin ] --START--
[ 2014-11-03T16:08:06+08:00 ] /index.php/Public/verify/1686 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000445s ]
[ 2014-11-03T16:08:06+08:00 ] /index.php/Public/verify/1686 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000498s ]
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000559s ]
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000643s ]
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000486s ]
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000540s ]
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000628s ]
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000694s ]
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.007055s ]
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007126s ]
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000482s ]
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000441s ]
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000309s ]
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000550s ]
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001941s ]
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000489s ]
[ 2014-11-03T16:08:12+08:00 ] /index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000544s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Tag[ route_check ] --START--
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Run CheckRoute Behavior [ RunTime:0.000757s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000834s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000521s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000577s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | SQL: SHOW COLUMNS FROM `activities` [ RunTime:0.004771s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | SQL: SELECT COUNT(*) AS tp_count FROM `activities` WHERE ( `types` = 1 ) AND ( `isdel` = 0 ) LIMIT 1   [ RunTime:0.003423s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | SQL: SELECT * FROM `activities` WHERE ( `types` = 1 ) AND ( `isdel` = 0 ) ORDER BY sort DESC LIMIT 0,10   [ RunTime:0.004199s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Tag[ view_template ] --START--
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000926s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000987s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | NOTIC: [8] Undefined index: search 33a2a2ab80ee0a23fdfbcc06408b54f4.php 第 134 行.
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | NOTIC: [8] Undefined index: title 33a2a2ab80ee0a23fdfbcc06408b54f4.php 第 140 行.
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | NOTIC: [8] Use of undefined constant img - assumed 'img' 33a2a2ab80ee0a23fdfbcc06408b54f4.php 第 166 行.
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | NOTIC: [8] Use of undefined constant img - assumed 'img' 33a2a2ab80ee0a23fdfbcc06408b54f4.php 第 166 行.
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | NOTIC: [8] Use of undefined constant img - assumed 'img' 33a2a2ab80ee0a23fdfbcc06408b54f4.php 第 166 行.
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Run ParseTemplate Behavior [ RunTime:0.031820s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031884s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Run ContentReplace Behavior [ RunTime:0.000618s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Run TokenBuild Behavior [ RunTime:0.000575s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000348s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000520s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002225s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Tag[ view_end ] --START--
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000475s ]
[ 2014-11-03T16:08:17+08:00 ] /index.php/Webinfo/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000533s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Tag[ route_check ] --START--
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Run CheckRoute Behavior [ RunTime:0.000953s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001045s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000657s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000733s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | SQL: SHOW COLUMNS FROM `category` [ RunTime:0.005813s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | SQL: SELECT *,concat(path,',',id) as bpath FROM `category` ORDER BY provice desc ,bpath ASC  [ RunTime:0.006917s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Tag[ view_template ] --START--
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001526s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001647s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Run ParseTemplate Behavior [ RunTime:0.023425s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023525s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Run ContentReplace Behavior [ RunTime:0.000636s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Run TokenBuild Behavior [ RunTime:0.000509s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000336s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000533s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002187s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Tag[ view_end ] --START--
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000472s ]
[ 2014-11-03T16:08:23+08:00 ] /index.php/Category/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000528s ]
[ 2014-11-03T16:08:24+08:00 ] /index.php/Article/index | INFO: Tag[ route_check ] --START--
[ 2014-11-03T16:08:24+08:00 ] /index.php/Article/index | INFO: Run CheckRoute Behavior [ RunTime:0.000559s ]
[ 2014-11-03T16:08:24+08:00 ] /index.php/Article/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000633s ]
[ 2014-11-03T16:08:24+08:00 ] /index.php/Article/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-03T16:08:24+08:00 ] /index.php/Article/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000407s ]
[ 2014-11-03T16:08:24+08:00 ] /index.php/Article/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000459s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: SHOW COLUMNS FROM `product` [ RunTime:0.006506s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: SELECT COUNT(*) AS tp_count FROM `product` WHERE ( `isDel` = 0 ) LIMIT 1   [ RunTime:0.004731s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: SELECT * FROM `product` WHERE ( `isDel` = 0 ) ORDER BY id DESC LIMIT 0,10   [ RunTime:0.156176s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | NOTIC: [2048] Declaration of BaseModel::add() should be compatible with Model::add($data = '', $options = Array, $replace = false) BaseModel.class.php 第 177 行.
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | NOTIC: [2048] Declaration of BaseModel::delete() should be compatible with Model::delete($options = Array) BaseModel.class.php 第 177 行.
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | NOTIC: [2048] Declaration of BaseModel::select() should be compatible with Model::select($options = Array) BaseModel.class.php 第 177 行.
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: SHOW COLUMNS FROM `article` [ RunTime:0.008699s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=2 [ RunTime:0.006781s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=2 [ RunTime:0.030002s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=2 [ RunTime:0.006869s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=3 [ RunTime:0.042186s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=2 [ RunTime:0.006867s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=2 [ RunTime:0.042900s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=2 [ RunTime:0.006960s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=2 [ RunTime:0.042581s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: SHOW COLUMNS FROM `article` [ RunTime:0.005004s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `product` where isDel=0 order by `id` desc [ RunTime:0.194743s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=2 [ RunTime:0.006855s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=2 [ RunTime:0.041656s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=2 [ RunTime:0.050637s ]
[ 2014-11-03T16:08:25+08:00 ] /index.php/Article/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=3 [ RunTime:0.005836s ]
