[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Tag[ route_check ] --START--
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Run CheckRoute Behavior [ RunTime:0.000717s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000789s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Tag[ app_begin ] --START--
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000589s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000637s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Tag[ view_template ] --START--
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001262s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001344s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --START--
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | NOTIC: [8] Undefined variable: message dc3f4348b92bb672ad42baef1f696288.php 第 84 行.
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Run ParseTemplate Behavior [ RunTime:0.024887s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024942s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --START--
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Run ContentReplace Behavior [ RunTime:0.000599s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.000705s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000464s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000654s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002581s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000613s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000667s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-04T10:59:12+08:00 ] /index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000855s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000938s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-04T10:59:12+08:00 ] /index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000960s ]
[ 2014-11-04T10:59:12+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001038s ]
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001568s ]
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001651s ]
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000775s ]
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000844s ]
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000774s ]
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000834s ]
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.008921s ]
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009049s ]
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000716s ]
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000544s ]
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000362s ]
[ 2014-11-04T10:59:25+08:00 ] /index.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.003094s ]
