[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ContentReplace Behavior [ RunTime:0.000246s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.000482s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000143s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000168s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001136s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000174s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000216s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000523s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000864s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000219s ]
[ 2014-11-20T14:25:22+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000303s ]
[ 2014-11-20T14:25:34+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ route_check ] --START--
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run CheckRoute Behavior [ RunTime:0.000468s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000559s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ app_begin ] --START--
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000178s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000224s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_template ] --START--
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000654s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000751s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_parse ] --START--
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | NOTIC: [8] Undefined variable: message dc3f4348b92bb672ad42baef1f696288.php 第 84 行.
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ParseTemplate Behavior [ RunTime:0.005705s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005756s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_filter ] --START--
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ContentReplace Behavior [ RunTime:0.000315s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.000266s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000169s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000220s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001097s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000174s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000217s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000098s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000166s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000087s ]
[ 2014-11-20T14:26:29+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000118s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ route_check ] --START--
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run CheckRoute Behavior [ RunTime:0.000196s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000269s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ app_begin ] --START--
