[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Tag[ route_check ] --START--
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Run CheckRoute Behavior [ RunTime:0.000660s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000740s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000433s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000487s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Tag[ view_template ] --START--
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000913s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000982s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --START--
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | NOTIC: [8] Undefined variable: message dc3f4348b92bb672ad42baef1f696288.php 第 84 行.
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Run ParseTemplate Behavior [ RunTime:0.017987s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018051s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --START--
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Run ContentReplace Behavior [ RunTime:0.000538s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.000563s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000340s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000498s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002131s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000460s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000513s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-10T16:38:44+08:00 ] /index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000783s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000871s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T16:38:44+08:00 ] /index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000638s ]
[ 2014-11-10T16:38:44+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000741s ]
[ 2014-11-10T16:38:51+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-10T16:38:51+08:00 ] /index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000862s ]
[ 2014-11-10T16:38:51+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000965s ]
[ 2014-11-10T16:38:51+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T16:38:51+08:00 ] /index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000683s ]
[ 2014-11-10T16:38:51+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000742s ]
[ 2014-11-10T16:38:59+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-10T16:38:59+08:00 ] /index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001096s ]
[ 2014-11-10T16:38:59+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001223s ]
[ 2014-11-10T16:38:59+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T16:38:59+08:00 ] /index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000915s ]
[ 2014-11-10T16:38:59+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001012s ]
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000718s ]
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000805s ]
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000621s ]
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000689s ]
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000750s ]
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000815s ]
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.009103s ]
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009178s ]
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000716s ]
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001109s ]
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000715s ]
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000669s ]
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003515s ]
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000579s ]
[ 2014-11-10T16:39:10+08:00 ] /index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000640s ]
[ 2014-11-10T16:39:13+08:00 ] /index.php/Product/index | INFO: Tag[ route_check ] --START--
[ 2014-11-10T16:39:13+08:00 ] /index.php/Product/index | INFO: Run CheckRoute Behavior [ RunTime:0.000573s ]
[ 2014-11-10T16:39:13+08:00 ] /index.php/Product/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000649s ]
[ 2014-11-10T16:39:13+08:00 ] /index.php/Product/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T16:39:13+08:00 ] /index.php/Product/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000511s ]
[ 2014-11-10T16:39:13+08:00 ] /index.php/Product/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000574s ]
[ 2014-11-10T16:39:13+08:00 ] /index.php/Product/index | SQL: SHOW COLUMNS FROM `product` [ RunTime:0.006409s ]
[ 2014-11-10T16:39:13+08:00 ] /index.php/Product/index | SQL: SELECT COUNT(*) AS tp_count FROM `product` WHERE ( `is_del` = 0 ) LIMIT 1   [ RunTime:0.005758s ]
[ 2014-11-10T16:39:14+08:00 ] /index.php/Product/index | SQL: SELECT * FROM `product` WHERE ( `is_del` = 0 ) ORDER BY id DESC LIMIT 0,10   [ RunTime:1.307019s ]
[ 2014-11-10T16:39:14+08:00 ] /index.php/Product/index | NOTIC: [2048] Declaration of BaseModel::add() should be compatible with Model::add($data = '', $options = Array, $replace = false) BaseModel.class.php 第 177 行.
[ 2014-11-10T16:39:14+08:00 ] /index.php/Product/index | NOTIC: [2048] Declaration of BaseModel::delete() should be compatible with Model::delete($options = Array) BaseModel.class.php 第 177 行.
[ 2014-11-10T16:39:14+08:00 ] /index.php/Product/index | NOTIC: [2048] Declaration of BaseModel::select() should be compatible with Model::select($options = Array) BaseModel.class.php 第 177 行.
[ 2014-11-10T16:39:14+08:00 ] /index.php/Product/index | SQL: SHOW COLUMNS FROM `product` [ RunTime:0.006428s ]
[ 2014-11-10T16:39:14+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=21 [ RunTime:0.006021s ]
[ 2014-11-10T16:39:14+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=14 [ RunTime:0.029187s ]
[ 2014-11-10T16:39:14+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=15 [ RunTime:0.006726s ]
[ 2014-11-10T16:39:14+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=10 [ RunTime:0.007056s ]
