[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Tag[ route_check ] --START--
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Run CheckRoute Behavior [ RunTime:0.000745s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000821s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Tag[ app_begin ] --START--
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000536s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000593s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Tag[ view_template ] --START--
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000817s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000891s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --START--
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | NOTIC: [8] Undefined variable: message dc3f4348b92bb672ad42baef1f696288.php 第 84 行.
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Run ParseTemplate Behavior [ RunTime:0.047143s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.047237s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --START--
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Run ContentReplace Behavior [ RunTime:0.001032s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.001055s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000728s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001104s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004433s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001490s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001670s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-10-31T09:57:04+08:00 ] /index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001464s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001575s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-10-31T09:57:04+08:00 ] /index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000600s ]
[ 2014-10-31T09:57:04+08:00 ] /index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000657s ]
[ 2014-10-31T09:57:10+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2014-10-31T09:57:10+08:00 ] /index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000585s ]
